Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.56,1.76,38.78,3.53,1.39,0.46,24.33,82.91,1.76,0.46,0.46,1.21,0.37,5.2,0.37,41.1,2.23,Mahmoud Trézéguet,mahmoud-trezeguet,Trabzonspor,
0.54,1.31,47.83,1.85,1.07,0.36,29.86,79.37,2.15,1.07,1.61,1.37,1.02,4.6,1.13,50.0,2.09,İrfan Can Kahveci,irfan-can-kahveci,Fenerbahçe,
0.49,0.98,44.0,2.9,1.07,0.58,20.0,66.17,2.95,1.65,1.52,0.89,0.54,2.77,0.54,39.78,0.89,Kerem Aktürkoğlu,kerem-akturkoglu,Galatasaray,
0.48,1.4,42.62,2.63,0.91,0.16,19.98,78.48,0.64,0.21,1.02,0.64,0.38,3.87,0.81,39.73,1.93,Dal Varešanović,dal-varesanovic,Çaykur Rizespor,
0.41,0.55,71.43,2.65,0.99,0.11,36.86,82.05,1.14,0.55,2.1,1.88,0.63,3.42,1.4,56.47,1.18,Aytaç Kara,aytac-kara,Kasımpaşa,
0.38,1.29,58.62,2.43,0.91,0.08,32.83,80.19,0.53,0.45,1.59,0.68,0.38,2.73,1.29,41.41,0.76,Olivier Ntcham,olivier-ntcham,Yılport Samsunspor,
0.37,0.28,25.0,2.76,1.1,0.53,20.88,78.35,2.36,1.63,1.02,2.6,0.49,4.39,0.24,50.67,1.5,Sebastian Szymański,sebastian-szymanski,Fenerbahçe,
0.35,0.64,32.35,2.57,0.82,0.0,11.98,66.34,0.82,0.12,0.41,0.64,0.12,2.1,1.64,37.65,0.82,Carlos Strandberg,carlos-strandberg,Hatayspor,
0.34,1.05,48.08,1.77,0.71,0.17,11.64,67.4,1.81,0.34,0.13,0.71,0.63,2.86,0.8,41.04,1.13,Mamadou Fall,mamadou-fall,Kasımpaşa,
0.33,0.33,33.33,1.77,0.66,0.44,24.4,86.33,0.99,0.11,0.44,1.88,0.55,4.42,0.77,43.93,2.21,Mehdi Abeid,mehdi-abeid,Başakşehir FK,
0.33,1.44,44.0,1.71,0.98,0.0,19.76,82.02,0.66,0.53,0.98,0.98,0.33,3.68,0.79,40.48,1.31,Louka Prip,prip-louka,Konyaspor,
